"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"206","Nkupe Shelter","Pta-3275 ",3950,70,"Wilton",-28.147,29.937,"charcoal",2
"207","Numas Schlucht Cave (Lower Numas Cave)","Pta-1623",3950,60,"Wilton",-21.117,14.417,"charcoal",3
"208","Soutpansklipheuwel86","UGAMS-10297",3950,25,"",-32,18.317,"marine shell",1
"209","Elands Bay Cave","Pta-5317",3940,60,"Wilton",-32.317,18.318,"",2
"210","Zaayfontein","GX-1294",3935,180,"",-30.633,25.5,"charcoal",3
"211","Byneskranskop 1","Pta-1571 ",3900,60,"Wilton",-34.583,19.467,"",1
"212","Klasies River Cave 5","Pta-3906",3900,50,"",-34.13,24.43,"charcoal",2
"213","White Paintings Shelter","UCR-3366",3900,50,"",-18.75,21.75,"eggshell",3
"214","Buzz Shelter","UGAMS-11683",3890,20,"",-31.524,18.6,"plant remains",1
"215","Kasteelberg G","Pta-8762",3890,60,"Final LSA",-32.733,17.933,"marine shell",2
"216","Brandsebaai 2","GX-32063",3870,70,"",-31.35,17.917,"marine shell",3
"217","Cave James","Wits-1383",3870,50,"",-25.683,27.983,"",1
"218","Shongweni South","Pta-823",3870,60,"Wilton",-29.85,30.717,"charcoal",2
"219","White Paintings Shelter","UCR-3368",3860,50,"",-18.75,21.75,"eggshell",3
"220","Andriesgrond","OxA-457",3850,80,"",-32.194,18.858,"bone",1
"221","Sikhanyisweni","Pta-3764",3850,60,"",-28.467,30.383,"charcoal",2
"222","Buffelskloof","UW-341",3840,80,"Wilton",-33.667,21.867,"",3
"223","Die Toon","Pta-5960",3840,60,"",-28.311,17.283,"",1
"224","Shongweni North","Pta-4135",3840,50,"",-29.85,30.717,"plant remains",2
"225","Elands Bay Cave","Pta-1754",3835,50,"",-32.317,18.318,"bone",3
"226","Toteng 7","Beta-96239",3830,100,"",-20.38,22.95,"charcoal",1
"227","KwaThwaleyakhe","Pta-5351",3810,60,"",-28.914,30.444,"charcoal",2
"228","Mitchell's Bay 2005/001E","GX-32756",3810,145,"",-30.469,17.361,"marine shell",3
"229","Elands Bay Cave","Pta-1816",3780,85,"Wilton",-32.317,18.318,"plant remains",1
"230","Hoffman's Robberg Cave","UW-205",3770,100,"Wilton",-34.105951,23.388,"marine shell",2
"231","Kareedoringvlei 2001/012","UGAMS-8870",3760,25,"",-29.501,17.055,"marine shell",3
"232","Buffels River, Kleinzee","Pta-2267",3750,60,"",-29.67,17.063,"bone",1
"233","Koingnaas 2001/008C","Pta-9325",3740,60,"",-30.222,17.238,"marine shell",2
"234","Rooikrans","Wits-2005",3740,280,"",-27.033,27.367,"bone",3
"235","Jubilee Shelter","Pta-3563 ",3730,60,"Wilton",-25.683,27.983,"charcoal",1
"236","Koingnaas 2001/008C","Pta-9335",3720,45,"",-30.222,17.238,"marine shell",2
"237","Maqonqo Shelter","OZD-453",3720,100,"",-28.344,30.424,"other",3
"238","White Paintings Shelter","Beta-33053",3700,130,"",-18.75,21.75,"charcoal",1
"239","Deurspring 16","Pta-7387",3690,50,"",-32.006,18.305,"marine shell",2
"240","Powerhouse Cave","Pta-1508",3680,60,"",-27.617,24.633,"",3
"241","Blydefontein","SR-152",3650,120,"Wilton",-31.133,25.05,"charcoal",1
"242","Steenbokfontein","Pta-6805",3640,60,"Wilton",-32.162,18.333,"marine shell",2
"243","Steenbokfontein","Pta-7020",3635,30,"Wilton",-32.162,18.333,"marine shell",3
"244","Blombosfontein 6","Pta-6709",3630,70,"Wilton",-34.4,21.217,"marine shell",1
"245","De Hoop","Pta-6785",3620,60,"Final LSA",-29.236,27.438,"charcoal",2
"246","Byneskranskop 1","OxA-32677",3599,28,"Wilton",-34.583,19.467,"bone",3
"247","Elands Bay Cave","Pta-5594",3590,60,"Wilton",-32.317,18.318,"charcoal",1
"248","Emambeni Shelter","Y-1998",3590,120,"",-26.433,31.053,"bone",2
"249","Hondeklipbaai 2007/035","UGAMS-5153",3590,30,"",-30.314,17.276,"",3
"250","Spoeg River Cave","Pta-6987",3580,60,"Final LSA",-30.294,17.272,"",1
"251","Highlands Rock Shelter","Pta-563",3570,50,"Final LSA",-31.664,25.572,"",2
"252","Pancho's Kitchen Midden","Pta-5743",3570,60,"Wilton",-32.339,18.333,"",3
"253","White Paintings Shelter","UCR-3370",3570,60,"",-18.75,21.75,"eggshell",1
"254","Maqonqo Shelter","Pta-6244 ",3560,60,"Wilton",-28.344,30.424,"charcoal",2
"255","Matjies River","GrN-5888",3555,35,"Wilton",-34.017,23.417,"marine shell",3
"256","White Paintings Shelter","AA-35233",3555,45,"",-18.75,21.75,"eggshell",1
"257","Klipfonteinrand","Pta-1642",3540,60,"",-32.067,20.167,"bone",2
"258","Mauermanshoek","Pta-5930",3540,60,"Final LSA",-28.85,27.233,"charcoal",3
"259","Spoeg River Cave","Pta-6754",3520,50,"Final LSA",-30.294,17.272,"",1
"260","Tortoise Cave","Pta-3604",3520,60,"Wilton",-32.341,18.399,"charcoal",2
"261","Elands Bay Cave","Pta-687",3510,45,"Wilton",-32.317,18.318,"plant remains",3
"262","Paternoster Midden","Pta-1717",3510,60,"",-32.807,17.884,"marine shell",1
"263","Spring Cave","Pta-4027",3510,60,"Wilton",-32.322,18.336,"charcoal",2
"264","Steenbokfontein","Pta-6794",3510,50,"Wilton",-32.162,18.333,"marine shell",3
"265","White Paintings Shelter","Beta-55732",3479,90,"",-18.75,21.75,"charcoal",1
"266","Elands Bay Cave","Pta-841",3450,50,"Wilton",-32.317,18.318,"plant remains",2
"267","Oakhurst","Pta-520 ",3450,55,"Wilton",-33.933,22.617,"charcoal",3
"268","Zoovoorbij","Pta-2893",3440,60,"Wilton",-28.65,20.967,"charcoal",1
"269","Grootrif D","Pta-6216",3430,20,"",-32.164,18.314,"marine shell",2
"270","Scorpion Shelter","Pta-6341",3430,20,"",-32.367,18.367,"marine shell",3
"271","Tweepad 2004/014","UGAMS-8425",3430,25,"",-29.485,16.993,"marine shell",1
"272","Tortoise Cave","Pta-5662",3410,60,"Wilton",-32.341,18.399,"marine shell",2
"273","Byneskranskop 1","Pta-1569",3400,55,"Final LSA",-34.583,19.467,"",3
"274","Weltevreden near Plooysburg","Pta-681",3380,60,"",-29.033,24.167,"bone",1
"275","Masitise","Pta-5454",3370,80,"",-30.4,27.635,"charcoal",2
"276","Borchers Shelter","Pta-3110",3360,110,"",-30.687,30.377,"bone",3
"277","Wonderwerk","Pta-2728",3360,60,"",-27.846,23.555,"geological carbonate",1
"278","Koingnaas 2001/008C","OxA-22970",3355,28,"",-30.222,17.238,"bone",2
"279","Likoaeng","GrA-23232",3355,45,"Final LSA",-29.736,28.763,"charcoal",3
"280","Jakkalsberg L","GX-32065",3330,70,"Final LSA",-28.181,16.887,"charcoal",1
"281","Buzz Shelter","OxA-22984",3327,26,"",-31.524,18.6,"charcoal",2
"282","Dune Field Midden","CAMS-113297",3325,35,"Wilton",-32.301,18.348,"marine shell",3
"283","Melkbosstrand","Pta-8741",3310,60,"",-33.7307,18.4426,"bone",1
"284","Belleview","Pta-293",3280,60,"",-29.999,29.058,"charcoal",2
"285","Nelson Bay Cave","Pta-3097",3270,70,"Final LSA",-34.101,23.378,"charcoal",3
"286","Nyonyane","TX-5632",3270,70,"",-27.3,31.9,"charcoal",1
"287","Zaayfontein","SR-160",3270,115,"",-30.633,25.5,"charcoal",2
"288","Jubilee Shelter","Wits-1449 ",3250,60,"Wilton",-25.683,27.983,"charcoal",3
"289","Leopard Cave","Beta-236964",3250,40,"",-21.573,15.555,"charcoal",1
"290","Gordon's Bay","GrN-4374",3220,55,"",-34.156,18.865,"charcoal",2
"291","Melkbosstrand","Pta-928",3220,54,"",-33.732,18.441,"bone",3
"292","Twyfelpoort","Pta-7245",3210,50,"",-28.633,27.567,"charcoal",1
"293","KwaThwaleyakhe","Pta-5360",3200,60,"",-28.914,30.444,"charcoal",2
"294","Melkbosstrand","Pta-8752",3200,35,"",-33.7309,18.4426,"bone",3
"295","Byneskranskop 3","Pta-2969",3190,50,"",-34.583,19.467,"bone",1
"296","Hoffman's Robberg Cave","UW-204",3190,110,"Wilton",-34.105951,23.388,"marine shell",2
"297","Kreefbaai C","Pta-4045",3190,60,"",-32.21,18.328,"charcoal",3
"298","Nelson Bay Cave","Pta-3095",3190,60,"Final LSA",-34.101,23.378,"charcoal",1
"299","Nkupe Shelter","Pta-3269",3190,60,"Final LSA",-28.147,29.937,"charcoal",2
"300","Leopard Cave","Beta-236966",3180,40,"",-21.573,15.555,"charcoal",3
"301","N2005/2, Sesfontein","KN-5799",3175,40,"",-19.05,13.533,"charcoal",1
"302","Blombosfontein 7","Pta-6183",3170,25,"Final LSA",-34.4,21.217,"marine shell",2
"303","Brandsebaai 2","GX-32062",3160,70,"",-31.35,17.917,"marine shell",3
"304","Tortoise Cave","Pta-5498",3160,60,"Wilton",-32.341,18.399,"marine shell",1
"305","Mitchell's Bay 2005/016","GX-32535",3140,60,"",-30.388,17.314,"",2
"306","N2005/1, Sesfontein","KIA-29630",3140,20,"",-19.083,13.35,"charcoal",3
"307","Blydefontein","SMU-1849",3135,33,"Wilton",-31.133,25.05,"charcoal",1
"308","Great Elephant Shelter","Pta-1557",3130,40,"",-21.833,15.667,"charcoal",2
